catalog,well,plate,letter,number,primer_f,primer_r,thermocycler,band,date,flag,notes,primers,evaporated,
23S814,B11,CDFA_P1,B,11,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S818,C11,CDFA_P1,C,11,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S821,D11,CDFA_P1,D,11,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S825,E11,CDFA_P1,E,11,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S835,F11,CDFA_P1,F,11,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S826,G11,CDFA_P1,G,11,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S845,H11,CDFA_P1,H,11,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S813,A12,CDFA_P1,A,12,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S816,B12,CDFA_P1,B,12,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S819,C12,CDFA_P1,C,12,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S822,D12,CDFA_P1,D,12,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S829,E12,CDFA_P1,E,12,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S836,F12,CDFA_P1,F,12,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S827,G12,CDFA_P1,G,12,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S846,H12,CDFA_P1,H,12,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S734,A1,CDFA_P1,A,1,LCO,HCO,#6,n,2/5/2024,,,,,
23S648,B1,CDFA_P1,B,1,LCO,HCO,#6,n,2/5/2024,,,,,
23S684,C1,CDFA_P1,C,1,LCO,HCO,#6,n,2/5/2024,,,,,
23S687,D1,CDFA_P1,D,1,LCO,HCO,#6,n,2/5/2024,,,,,
23S765,E1,CDFA_P1,E,1,LCO,HCO,#6,n,2/5/2024,,,,,
23S779,F1,CDFA_P1,F,1,LCO,HCO,#6,n,2/5/2024,,,,,
23S786,G1,CDFA_P1,G,1,LCO,HCO,#6,n,2/5/2024,,,,,
23S795,H1,CDFA_P1,H,1,LCO,HCO,#6,n,2/5/2024,,,,,
